F20,1.30e+00 ± 4.80e-02,1.20e+00 ± 4.50e-02,1.25e+00 ± 4.60e-02,1.22e+00 ± 4.55e-02,1.23e+00 ± 4.57e-02,1.21e+00 ± 4.55e-02,1.20e+00 ± 4.50e-02,1.32e+00 ± 4.80e-02,1.20e+00 ± 4.50e-02
F21,4.20e+00 ± 1.70e-01,3.90e+00 ± 1.60e-01,4.00e+00 ± 1.65e-01,3.95e+00 ± 1.63e-01,3.98e+00 ± 1.64e-01,3.93e+00 ± 1.63e-01,3.90e+00 ± 1.60e-01,4.25e+00 ± 1.70e-01,3.90e+00 ± 1.60e-01
F22,5.50e+00 ± 2.30e-01,5.20e+00 ± 2.10e-01,5.30e+00 ± 2.20e-01,5.25e+00 ± 2.15e-01,5.28e+00 ± 2.18e-01,5.23e+00 ± 2.15e-01,5.20e+00 ± 2.10e-01,5.55e+00 ± 2.35e-01,5.20e+00 ± 2.10e-01
F23,1.15e+01 ± 4.80e-01,1.05e+01 ± 4.60e-01,1.10e+01 ± 4.70e-01,1.08e+01 ± 4.65e-01,1.09e+01 ± 4.67e-01,1.07e+01 ± 4.64e-01,1.05e+01 ± 4.60e-01,1.17e+01 ± 4.80e-01,1.05e+01 ± 4.60e-01
F24,2.20e+01 ± 8.00e-01,2.05e+01 ± 7.80e-01,2.10e+01 ± 7.90e-01,2.07e+01 ± 7.85e-01,2.08e+01 ± 7.87e-01,2.06e+01 ± 7.83e-01,2.05e+01 ± 7.80e-01,2.25e+01 ± 8.50e-01,2.05e+01 ± 7.80e-01
F25,8.00e-02 ± 3.50e-03,7.30e-02 ± 3.20e-03,7.50e-02 ± 3.30e-03,7.40e-02 ± 3.25e-03,7.42e-02 ± 3.27e-03,7.35e-02 ± 3.25e-03,7.30e-02 ± 3.20e-03,8.10e-02 ± 3.60e-03,7.30e-02 ± 3.20e-03
F26,2.10e-01 ± 8.50e-03,1.95e-01 ± 7.80e-03,2.00e-01 ± 8.00e-03,1.98e-01 ± 7.90e-03,1.99e-01 ± 7.95e-03,1.96e-01 ± 7.85e-03,1.95e-01 ± 7.80e-03,2.10e-01 ± 8.50e-03,1.95e-01 ± 7.80e-03
F27,1.40e+00 ± 6.00e-02,1.30e+00 ± 5.50e-02,1.35e+00 ± 5.80e-02,1.33e+00 ± 5.65e-02,1.34e+00 ± 5.67e-02,1.32e+00 ± 5.60e-02,1.30e+00 ± 5.50e-02,1.42e+00 ± 6.20e-02,1.30e+00 ± 5.50e-02
F28,2.60e+00 ± 1.10e-01,2.40e+00 ± 1.00e-01,2.50e+00 ± 1.05e-01,2.45e+00 ± 1.03e-01,2.48e+00 ± 1.04e-01,2.42e+00 ± 1.02e-01,2.40e+00 ± 1.00e-01,2.65e+00 ± 1.12e-01,2.40e+00 ± 1.00e-01
F29,1.90e+01 ± 6.50e-01,1.75e+01 ± 6.20e-01,1.80e+01 ± 6.30e-01,1.78e+01 ± 6.25e-01,1.79e+01 ± 6.28e-01,1.77e+01 ± 6.25e-01,1.75e+01 ± 6.20e-01,1.92e+01 ± 6.70e-01,1.75e+01 ± 6.20e-01
F30,3.10e+01 ± 1.30e+00,2.90e+01 ± 1.20e+00,3.00e+01 ± 1.25e+00,2.95e+01 ± 1.22e+00,2.98e+01 ± 1.23e+00,2.93e+01 ± 1.22e+00,2.90e+01 ± 1.20e+00,3.15e+01 ± 1.35e+00,2.90e+01 ± 1.20e+00
